,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed"
06/14/2021 14:40:06,4.6875,3.125,6.25,3.90625,4.4921875,50,51,49,48,51,4093.45239,4093.45239,4193.29248,4193.29248,19.1939468,15.4692383,0,1.48231089,99.8403
06/14/2021 14:40:11,0,0,0,0,0,46,48,47,47,48,4293.1333,4093.453,4193.293,4093.453,12.7614794,5.878552,0,1.167176,99.84032
06/14/2021 14:40:16,5.420673,5.384612,3.076923,3.076923,4.23978567,47,49,47,47,49,4093.45264,4093.45264,4193.293,4093.45264,19.0452862,12.67639,0,1.38524115,99.84031
06/14/2021 14:40:21,8.4615345,4.615384,3.076923,5.384612,5.384612,47,50,47,51,51,4093.45215,4093.45215,4093.45215,4193.29248,21.787384,14.7685413,0,1.43035507,99.8402939
06/14/2021 14:40:26,0,0,0,0,0,46,47,45,45,47,4093.45068,4293.13135,4093.45068,4193.291,12.9651747,6.16456032,0,1.16749394,99.84026
06/14/2021 14:40:31,3.076923,1.53846145,2.30768919,2.30768919,2.30769515,45,48,45,45,48,4193.29248,4193.29248,4193.29248,4193.29248,17.349905,10.43235,0,1.33599126,99.8402939
06/14/2021 14:40:36,0.7692337,0,0,0,0.192308426,45,48,45,45,48,4193.293,4093.45239,4293.1333,4093.45239,13.6171827,6.75729132,0,1.18096066,99.8403
06/14/2021 14:40:41,1.53846145,2.30768919,4.6875,2.30768919,2.71033645,45,48,45,44,48,4093.45264,4193.293,4093.45264,4193.293,18.1047153,11.1276617,0,1.29570317,99.84031
06/14/2021 14:40:46,0.7692337,0,0,0.7692337,0.384616852,44,47,44,44,47,4093.45239,4093.45239,4293.133,4293.133,13.3252869,6.42537546,0,1.179418,99.8403
06/14/2021 14:41:48,0.7692337,0,0.7692337,0.7692337,0.5769253,48,50,48,47,50,4093.45264,4093.45264,4093.45264,4093.45264,17.1333122,10.1743431,0,1.27214491,99.84031
06/14/2021 14:43:03,0,3.125,1.5625,2.34375,1.7578125,46,49,46,46,49,4193.294,4293.13428,4293.13428,4093.45337,13.3493166,6.528013,0,1.18478656,99.8403244
06/14/2021 14:43:08,2.34375,4.66346169,3.90625,4.6875,3.90024185,46,49,46,46,49,4193.29346,4193.29346,4193.29346,4093.45313,15.9318905,9.070013,0,1.270905,99.84032
06/14/2021 14:43:13,0,0.78125,0.78125,0.78125,0.5859375,44,47,45,45,47,4093.45239,4193.29248,4193.29248,4293.133,13.8056307,6.862969,0,1.1795994,99.8403
06/14/2021 14:43:18,1.53846145,0,1.53846145,1.53846145,1.15385056,45,47,44,44,47,4193.293,4193.293,4093.45264,4093.45264,14.2808552,7.36216831,0,1.21313238,99.84031
06/14/2021 14:43:23,12.5,1.5625,3.90625,0,4.4921875,52,52,49,52,53,4193.29541,4093.45532,4093.45532,4093.45532,17.3798218,14.1963968,0,1.36027455,99.84037
06/14/2021 14:43:28,0,3.8461566,0.7692337,1.53846145,1.53846145,44,46,44,44,46,4293.13135,4193.291,4293.13135,4293.13135,14.80821,7.946848,0,1.2255398,99.8402557
06/14/2021 14:43:33,6.899762,3.8461566,4.615384,5.384612,5.18648624,45,48,45,45,48,4093.45239,4093.45239,4093.45239,4093.45239,19.1513424,12.1300592,0,1.36968255,99.8403
06/14/2021 14:43:38,4.6875,6.25,3.125,3.90625,4.4921875,45,47,46,45,47,4093.45313,4093.45313,4093.45313,4093.45313,16.5050125,10.1735172,0,1.294012,99.84032
06/14/2021 14:43:43,4.615384,1.53846145,2.30768919,3.8461566,3.076923,46,49,46,47,49,4093.45215,4093.45215,4093.45215,4093.45215,18.33674,11.259491,0,1.30867851,99.8402939
06/14/2021 14:44:03,8.669353,3.125,3.90625,7.8125,5.878276,48,50,49,47,50,4193.293,4193.293,4093.45264,4193.293,21.7435684,14.7556343,0,1.43181157,99.84031
06/14/2021 14:46:23,2.34375,7.8125,13.28125,10.15625,8.3984375,49,51,49,48,51,4093.45264,4093.45264,4093.45264,4093.45264,25.00051,18.0446281,0,1.51026142,99.84031
06/14/2021 14:46:28,6.177884,9.230768,6.177884,8.4615345,7.51201534,47,49,47,46,49,4093.45264,4193.293,4093.45264,4093.45264,23.5941963,16.5726986,0,1.48625672,99.84031
06/14/2021 14:46:33,4.615384,3.076923,1.53846145,1.53846145,2.692312,47,49,47,47,49,4193.293,4093.45239,4093.45239,4093.45239,16.4655838,9.502191,0,1.2607919,99.8403
06/14/2021 14:46:38,8.59375,28.125,17.1875,12.5,16.6015625,53,59,52,53,59,4093.45313,4093.45313,4193.29346,4193.29346,36.41991,33.25035,0,1.38752651,99.8403244
06/14/2021 14:46:44,3.125,5.384612,3.8461566,2.34375,3.67487669,49,51,49,48,51,4093.45215,4093.45215,4093.45215,4093.45215,21.3992672,14.3045435,0,1.37942243,99.8402939
06/14/2021 14:46:49,7.57749653,5.36130667,4.592073,3.834498,5.341345,48,49,47,46,49,4093.45166,4093.45166,4193.292,4093.45166,19.2058868,13.0588942,0,1.33372879,99.84029
06/14/2021 14:46:54,0.78125,3.125,3.125,3.90625,2.734375,48,49,48,47,49,798.7224,4093.45239,4093.45239,4093.45239,20.6176224,13.7380133,0,1.37409389,99.8403
06/14/2021 14:46:59,0,0.7692337,1.53846145,2.28438377,1.14802122,46,49,48,46,49,4193.293,4093.45239,4293.133,4293.133,17.3356247,10.473093,0,1.26406765,99.8403
06/14/2021 14:47:04,0,0.7692337,0,1.53846145,0.5769253,44,47,44,44,47,4093.452,4193.29248,4193.29248,4193.29248,14.6731462,7.693225,0,1.19514179,99.8402939
06/14/2021 14:47:09,2.28438377,3.076923,3.87018919,5.384612,3.654027,45,47,45,45,47,4193.29248,4093.45239,4093.45239,4093.45239,17.2489872,10.2810955,0,1.25438213,99.8403
06/14/2021 14:47:14,0,0.7692337,0,0,0.192308426,44,47,44,44,47,4293.066,4093.38843,4293.066,4093.38843,13.8017883,6.98980951,0,1.18323314,99.8387451
06/14/2021 14:47:19,0,0,0,1.53846145,0.384616852,44,46,44,43,46,4293.13232,4293.13232,4293.13232,4293.13232,13.1651831,6.50813246,0,1.17978024,99.84029
06/14/2021 14:47:24,0,0,0.78125,0.7692337,0.387620926,44,46,43,43,46,4293.1333,4193.29346,4093.453,4293.1333,13.7300825,6.93965864,0,1.1829567,99.84032
06/14/2021 14:47:29,1.53846145,0,0,1.53846145,0.7692337,45,47,45,44,47,4093.45313,4093.45313,4093.45313,4093.45313,14.3666983,7.62749529,0,1.20605671,99.84032
06/14/2021 14:47:34,0,1.53846145,2.30768919,1.53846145,1.346159,44,46,44,43,46,4093.452,4293.13232,4193.292,4093.452,10.994257,8.233118,0,1.21958292,99.8402939
06/14/2021 14:47:39,2.34375,3.90625,3.90625,3.125,3.3203125,47,49,48,49,49,4093.45166,4093.45166,4093.45166,4093.45166,19.0796051,12.1814747,0,1.33113813,99.84029
06/14/2021 14:47:44,0.7692337,0.7692337,0.7692337,1.53846145,0.9615421,43,46,44,42,46,4193.29248,4293.133,4293.133,4193.29248,14.0656281,7.204966,0,1.19484043,99.8402939
06/14/2021 14:47:49,2.29603648,1.53846145,2.29603648,0.7692337,1.72494054,43,46,44,42,46,4093.45215,4093.45215,4293.133,4093.45215,14.3559151,7.42686749,0,1.19739807,99.8403
06/14/2021 14:47:54,0.7692337,0,0.7692337,0,0.384616852,43,46,43,42,46,4293.1333,4293.1333,4093.453,4093.453,13.3814545,6.52854061,0,1.17686355,99.84032
06/14/2021 14:47:59,1.53846145,2.30768919,6.153846,2.30768919,3.07692885,45,47,45,44,47,4193.293,4193.293,4193.293,4193.293,14.55245,11.7850246,0,1.32440317,99.84031
06/14/2021 14:48:04,3.125,2.34375,3.125,2.34375,2.734375,45,48,46,44,48,4093.453,4193.29346,4093.453,4093.453,18.387743,11.487258,0,1.31757617,99.84032
06/14/2021 14:48:09,3.076923,1.53846145,1.53846145,2.30768919,2.11538672,45,47,45,44,47,4093.45239,4093.45239,4093.45239,4093.45239,18.1997852,11.1406021,0,1.30602717,99.8403
06/14/2021 14:48:15,0.7692337,1.53846145,1.53846145,0,0.9615421,43,46,44,43,46,4193.293,4193.293,4293.1333,4293.1333,11.0267754,8.29839,0,1.24307466,99.8403
06/14/2021 14:48:20,10.15625,16.40625,17.1875,16.40625,15.0390625,47,49,47,47,49,4093.453,4093.453,4093.453,4093.453,31.1320438,26.4558,0,1.72338831,99.84032
06/14/2021 14:48:25,3.125,0.78125,0,3.90625,1.953125,44,46,44,43,46,4193.29248,4093.45239,4193.29248,4193.29248,16.1357422,9.216799,0,1.25607073,99.8403
06/14/2021 14:48:30,17.6923027,16.1538486,12.3076916,8.4615345,13.6538391,47,49,47,47,50,4093.45264,4093.45264,4093.45264,4093.45264,28.8313255,24.3101273,0,1.65364826,99.84031
06/14/2021 14:48:35,0.78125,1.5625,0.78125,0.78125,0.9765625,45,47,45,44,47,4193.293,4193.293,4093.45264,4193.293,11.7392817,8.433859,0,1.24493754,99.84031
06/14/2021 14:48:40,0.7692337,1.53846145,0.7692337,0.7692337,0.9615421,45,47,45,44,47,4193.293,4193.293,4093.45264,4193.293,16.6257362,9.55613,0,1.25382853,99.84031
06/14/2021 14:48:45,0,0,0.7692337,0.7692337,0.384616852,43,46,44,43,46,4193.293,4093.453,4193.293,4293.1333,13.8698235,6.88175774,0,1.18835533,99.84031
06/14/2021 14:48:50,2.30768919,0.7692337,2.30768919,3.076923,2.11538672,44,46,44,43,46,4193.29248,4193.29248,4193.29248,4093.45239,16.7688828,9.747504,0,1.274447,99.8403
06/14/2021 14:48:55,0.7692337,3.8461566,0.7692337,1.53846145,1.73077583,44,47,44,44,47,4093.453,4193.293,4193.293,4193.293,17.5154743,10.536171,0,1.295542,99.84032
06/14/2021 14:49:00,7.03125,7.03125,7.03125,6.25,6.8359375,45,48,45,45,48,4093.45215,4093.45215,4093.45215,4093.45215,22.6496429,15.6771517,0,1.49196863,99.8402939
06/14/2021 14:49:05,7.03125,4.6875,4.6875,1.5625,4.4921875,44,46,44,43,46,4193.29248,4193.29248,4093.45215,4093.45215,12.9531345,10.207324,0,1.31696117,99.8402939
06/14/2021 14:49:10,5.384612,6.92307949,6.92307949,6.153846,6.346154,44,47,44,43,47,4093.453,4093.453,4093.453,4193.29346,19.6140289,12.6729918,0,1.30000114,99.84032
06/14/2021 14:49:15,0.78125,1.5625,3.125,1.5625,1.7578125,44,46,44,43,46,4093.453,4193.293,4293.1333,4193.293,14.7812672,8.026433,0,1.23081958,99.84031
06/14/2021 14:49:20,3.90625,9.375,3.90625,4.6875,5.46875,44,47,44,43,47,4093.45068,4193.291,4093.45068,4193.291,18.4940929,11.4395876,0,1.34483039,99.8402557
06/14/2021 14:49:25,3.882575,8.545673,7.7178,3.90625,6.01307154,44,47,45,44,47,4193.29346,4193.29346,4093.45313,4093.45313,22.3980618,15.5699692,0,1.39444947,99.8403244
06/14/2021 14:49:30,3.8461566,8.403265,6.8531456,3.8461566,5.73717976,43,45,44,42,45,4093.45239,4093.45239,4193.29248,4293.133,19.6391525,12.8046541,0,1.32238758,99.8403
06/14/2021 14:49:35,3.8461566,10.0000019,10.0000019,3.8461566,6.92307949,43,46,44,43,46,4193.29248,4193.29248,4193.29248,4193.29248,19.935154,12.995594,0,1.31703293,99.8403
06/14/2021 14:49:40,2.30768919,0.7692337,2.31971145,0.7692337,1.54146552,46,48,48,46,48,4093.45239,4093.45239,4093.45239,4093.45239,16.4590225,12.4404192,0,1.35595453,99.8403
06/14/2021 14:49:45,0.78125,2.34375,1.5625,0.78125,1.3671875,44,46,44,42,46,4193.293,4193.293,4093.45239,4093.45239,17.1234283,10.2049055,0,1.29449844,99.8403
06/14/2021 14:49:50,1.53846145,2.30768919,3.076923,0.7692337,1.9230783,44,46,43,43,46,4193.29541,4193.29541,4093.455,4093.455,15.768796,8.896072,0,1.24122155,99.84036
06/14/2021 14:49:55,3.125,0.78125,0.78125,1.5625,1.5625,44,46,45,44,46,4093.45239,4193.29248,4193.29248,4093.45239,16.61751,9.653842,0,1.26512325,99.8403
06/14/2021 14:50:00,0.78125,1.5625,3.125,0.78125,1.5625,44,46,44,43,46,4093.452,4093.452,4093.452,4093.452,19.4706745,12.6190729,0,1.37675941,99.8402939
06/14/2021 14:50:05,2.33211517,2.30768919,2.33211517,3.076923,2.51221657,43,46,43,43,46,4193.29346,4093.45313,4093.45313,4093.45313,17.8165512,10.938118,0,1.31389856,99.84032
06/14/2021 14:50:10,7.03125,10.15625,10.15625,13.28125,10.15625,50,52,48,59,59,4093.45532,4093.45532,4093.45532,4093.45532,23.1333885,20.2699642,0,1.57644355,99.84037
06/14/2021 14:50:15,6.25,5.46875,3.125,1.5625,4.1015625,45,47,44,44,47,4093.45166,4193.292,4193.292,4193.292,17.80743,11.0690575,0,1.2950896,99.84029
06/14/2021 14:50:20,3.90625,2.34375,1.5625,3.125,2.734375,46,48,46,49,49,4093.45215,4093.45215,4093.45215,4093.45215,12.4230223,9.566648,0,1.26500714,99.8403
06/14/2021 14:50:25,15.625,17.96875,13.28125,15.625,15.625,48,50,48,47,50,4093.45215,4093.45215,4093.45215,4093.45215,28.381443,24.0190144,0,1.669803,99.8402939
06/14/2021 14:50:30,2.34375,3.90625,1.5625,1.5625,2.34375,45,47,45,44,47,4193.293,4193.293,4193.293,4093.453,19.032692,11.98327,0,1.32690787,99.84032
06/14/2021 14:50:36,3.90625,3.90625,1.5625,1.5625,2.734375,46,46,44,48,48,4093.45239,4093.45239,4293.133,4193.29248,16.3188839,9.557536,0,1.24544728,99.8403
06/14/2021 14:50:41,1.53846145,0.7692337,1.53846145,2.30768919,1.53846145,44,46,44,43,46,4293.1333,4193.293,4193.293,4193.293,15.7826281,8.9570055,0,1.22626173,99.84031
06/14/2021 14:51:36,6.153846,8.4615345,7.0192337,5.384612,6.75481558,46,49,47,46,49,4093.45361,4193.294,4093.45361,4193.294,19.8738327,12.9197159,0,1.32391346,99.84033
06/14/2021 14:51:41,0.78125,5.46875,3.90625,7.03125,4.296875,46,48,45,44,48,4093.45239,4293.133,4093.45239,4293.133,14.798624,8.071416,0,1.24455285,99.8403
06/14/2021 14:51:46,3.8461566,2.31971145,3.8461566,0.7692337,2.69531,47,50,48,48,50,4093.45215,4093.45215,4093.45215,4093.45215,20.4755058,13.5142632,0,1.3585161,99.8403
06/14/2021 14:51:51,1.5625,3.90625,5.46875,2.34375,3.3203125,48,48,47,46,48,4093.45215,4193.29248,4093.45215,4093.45215,19.890398,12.9578009,0,1.36264563,99.8403
06/14/2021 14:51:56,6.92307949,4.615384,4.615384,2.30768919,4.6153903,45,48,45,44,48,4193.29248,4193.29248,4193.29248,4093.45239,13.8397446,11.1270142,0,1.35615373,99.8403
06/14/2021 14:52:01,0.78125,0,0,1.58730149,0.5921364,44,47,44,43,47,4093.45239,4293.133,4093.45239,4093.45239,13.61707,6.772461,0,1.19498169,99.8403
06/14/2021 14:52:06,0.78125,0.78125,2.34375,0.78125,1.171875,43,46,43,43,46,4193.29248,4193.29248,4093.45215,4193.29248,14.70627,7.9733,0,1.23732328,99.8402939
06/14/2021 14:52:11,4.615384,1.53846145,0.757575035,1.53846145,2.112472,44,46,44,43,46,4193.293,4093.45239,4293.1333,4193.293,13.0711594,8.458309,0,1.26463783,99.8403
06/14/2021 14:52:16,1.5625,3.90625,2.34375,2.34375,2.5390625,43,45,44,43,46,4193.293,4093.45264,4193.293,4193.293,17.2905483,10.5211668,0,1.30043757,99.84031
06/14/2021 14:52:21,0,0,0,1.58730149,0.396823883,43,45,43,42,45,4193.293,4093.45239,4193.293,4193.293,13.4540672,6.614311,0,1.191671,99.8403
06/14/2021 14:52:26,2.30768919,2.30768919,0.7692337,0.7692337,1.53846145,44,46,44,43,46,4093.45239,4093.45239,4193.293,4193.293,15.6666336,8.71835,0,1.2323482,99.8403
06/14/2021 14:52:32,4.615384,1.51515007,2.30768919,1.53846145,2.49417424,43,46,43,42,46,4193.293,4093.45264,4193.293,4193.293,15.0491619,8.378768,0,1.22490454,99.84031
06/14/2021 14:52:37,0,0,0,1.5625,0.390625,43,45,43,42,45,4093.45313,4093.45313,4093.45313,4193.29346,13.838253,7.037896,0,1.20214677,99.84032
06/14/2021 14:52:42,0,1.5625,1.5625,1.5625,1.171875,43,45,43,43,45,4193.292,4193.292,4193.292,4193.292,15.8034325,8.978721,0,1.23605,99.84029
06/14/2021 14:52:47,1.53846145,3.8461566,1.56288147,3.08893919,2.50911117,43,45,43,42,45,4193.29248,4093.45215,4193.29248,4093.45215,14.3428984,7.69306135,0,1.22215211,99.8402939
06/14/2021 14:52:52,3.076923,4.615384,3.8461566,2.30768919,3.46153975,43,45,43,42,45,4093.45215,4293.133,4193.29248,4093.45215,14.639596,7.978319,0,1.23562253,99.8402939
06/14/2021 14:52:57,5.384612,10.76923,2.30768919,2.30768919,5.19230938,43,45,42,42,45,4093.452,4193.292,4093.452,4093.452,19.88878,13.0227423,0,1.33445632,99.84029
06/14/2021 14:53:02,1.53846145,8.4615345,4.615384,1.53846145,4.038465,43,45,43,42,46,4193.29248,4093.45215,4293.133,4293.133,19.619236,12.8301315,0,1.32353783,99.8402939
06/14/2021 14:53:07,8.59375,11.71875,14.84375,10.15625,11.328125,53,58,56,55,58,4093.45337,4093.45337,4093.45337,4093.45337,27.4806576,20.57122,0,1.49712908,99.8403244
06/14/2021 14:53:12,7.03125,10.15625,10.15625,4.6875,8.0078125,45,47,45,44,47,4093.45166,4093.45166,4093.45166,4093.45166,25.5346775,18.5517216,0,1.43600988,99.84029
06/14/2021 14:53:17,3.93105149,3.90625,5.46875,2.34375,3.912449,44,46,44,42,46,4193.293,4093.45239,4193.293,4093.45239,16.8734875,9.938665,0,1.27975643,99.8403
06/14/2021 14:53:22,1.5625,0.78125,0,2.34375,1.171875,45,45,46,43,46,4093.45264,4193.293,4193.293,4193.293,11.9873447,9.409152,0,1.268625,99.84031
06/14/2021 14:53:27,3.076923,3.076923,3.08893919,1.53846145,2.695316,42,45,43,42,45,4093.4502,4093.4502,4093.4502,4293.13037,17.47955,10.7095633,0,1.29773378,99.84025
06/14/2021 14:53:32,0.78125,0,0,0.78125,0.390625,42,44,45,47,47,4093.45239,4193.293,4293.133,4293.133,13.26976,6.592569,0,1.19728446,99.8403
06/14/2021 14:53:37,3.076923,5.384612,2.30768919,3.076923,3.46154571,43,45,44,42,45,4193.29346,4193.29346,4093.45337,4193.29346,17.9719067,11.1947012,0,1.31181669,99.8403244
06/14/2021 14:53:42,4.6875,5.46875,7.8125,3.125,5.2734375,46,46,48,44,48,4093.45239,4193.29248,4093.45239,4093.45239,18.618515,11.71824,0,1.32438874,99.8403
06/14/2021 14:53:47,3.101343,2.3317337,3.1129837,1.53846145,2.52113342,42,45,43,42,45,4193.29248,4193.29248,4093.45239,4293.133,17.44105,10.6865482,0,1.30060637,99.8403
06/14/2021 14:53:52,3.076923,0,3.076923,2.30768919,2.11538672,43,45,43,42,45,4093.453,4093.453,4093.453,4193.29346,15.8369312,8.937528,0,1.24304748,99.84032
06/14/2021 14:53:57,0,0.7692337,0.7692337,0.7692337,0.5769253,42,45,45,42,45,4293.06641,4193.22754,4193.22754,4193.22754,13.1096678,6.489689,0,1.17723072,99.83875
06/14/2021 14:54:02,3.8461566,0.7692337,1.53846145,2.29603648,2.112472,42,45,43,42,45,4193.29248,4193.29248,4193.29248,4093.45215,16.2163,9.489995,0,1.27504444,99.8403
06/14/2021 14:54:07,15.2009192,20.7692261,20.7692261,19.23077,18.99253,45,47,45,44,47,4093.45239,4093.45239,4093.45239,4093.45239,27.8456268,20.7523174,0,1.67180324,99.8403
06/14/2021 14:54:12,2.34375,1.5625,0.78125,1.5625,1.5625,43,45,43,43,45,4093.45215,4193.29248,4093.45215,4193.29248,18.3546658,11.519496,0,1.30275965,99.8403
06/14/2021 14:54:17,2.35614777,2.34375,2.34375,3.125,2.542162,45,49,43,43,49,4093.453,4193.29346,4093.453,4193.29346,16.8543472,10.0254583,0,1.256192,99.84032
06/14/2021 14:54:22,0.78125,1.5625,0,1.5625,0.9765625,43,45,43,42,45,4193.29346,4293.1333,4093.453,4093.453,15.411849,8.553263,0,1.22410583,99.84032
06/14/2021 14:54:27,0.7692337,0.78125,0,1.5625,0.7782459,43,45,43,42,45,4093.45264,4093.45264,4093.45264,4093.45264,15.8130817,9.081191,0,1.23215652,99.84031
06/14/2021 14:54:32,0.78125,0.78125,0,0.78125,0.5859375,42,45,42,42,45,4093.45239,4193.29248,4193.29248,4193.29248,16.31272,9.449906,0,1.2407676,99.8403
06/14/2021 14:54:37,3.8461566,0,1.53846145,0,1.346153,42,45,42,41,45,4093.45361,4093.45361,4093.45361,4093.45361,18.68642,11.8280363,0,1.30551457,99.84033
06/14/2021 14:54:42,2.35614777,4.6875,1.5625,2.34375,2.73747444,43,45,43,42,45,4193.293,4193.293,4193.293,4193.293,16.62998,9.847442,0,1.27489066,99.8403
06/14/2021 14:54:47,4.71230125,6.25,3.13739777,3.90625,4.501486,43,46,47,43,47,4293.133,4093.45215,4193.29248,4093.45215,16.1127014,9.2821,0,1.26995075,99.8402939
06/14/2021 14:54:52,1.5625,0.78125,0,0.78125,0.78125,42,45,42,42,45,4193.293,4093.45239,4193.293,4093.45239,14.33439,7.492005,0,1.2095387,99.8403
06/14/2021 14:54:57,0.78125,0.78125,0.78125,0.78125,0.78125,42,45,43,42,47,4293.133,4093.45239,4193.29248,4193.29248,14.46722,7.71572065,0,1.22504222,99.8403
06/14/2021 14:55:03,2.30768919,2.30768919,0,1.53846145,1.53846145,42,45,42,41,45,4193.29248,4293.133,4193.29248,4193.29248,14.60746,7.957974,0,1.24751818,99.8402939
06/14/2021 14:55:08,3.125,8.59375,7.03125,3.125,5.46875,42,44,42,42,44,4293.128,4093.44727,4193.2876,4093.44727,17.73716,10.9520569,0,1.30779469,99.84018
06/14/2021 14:55:13,7.8125,10.15625,7.03125,7.03125,8.0078125,42,45,42,42,45,4093.44971,4193.29,4193.29,4193.29,22.1852074,15.2346783,0,1.42195332,99.84024
06/14/2021 14:55:18,3.8461566,9.976685,3.076923,3.076923,4.994178,42,45,41,41,45,4093.45215,4193.29248,4193.29248,4193.29248,19.197731,12.3945827,0,1.30844569,99.8402939
06/14/2021 14:55:23,1.53846145,3.8461566,5.384612,3.076923,3.46153975,42,45,45,42,45,4093.45239,4193.29248,4093.45239,4093.45239,20.61967,13.8058157,0,1.33962488,99.8403
06/14/2021 14:55:28,6.92307949,8.4615345,6.153846,4.615384,6.53846264,42,45,42,42,45,4093.45264,4093.45264,4193.293,4093.45264,19.2299747,12.5174379,0,1.32083511,99.84031
06/14/2021 14:57:56,9.230768,17.6923027,16.9230766,14.6153812,14.6153746,46,48,46,45,48,4093.453,4193.293,4093.453,4093.453,25.6699085,21.3751373,0,1.68120539,99.84031
06/14/2021 14:58:45,2.34375,7.03125,5.46875,6.25,5.2734375,46,49,48,47,49,4093.45239,4093.45239,4293.133,4293.133,21.3492146,14.4114151,0,1.39647686,99.8403
06/14/2021 14:58:50,0,2.34375,0.78125,1.5625,1.171875,55,48,46,46,55,4093.45166,4293.13232,4093.45166,4093.45166,14.19262,7.453866,0,1.20649254,99.84029
06/14/2021 14:58:55,2.34375,1.5625,1.5625,3.125,2.1484375,45,47,45,44,47,4193.29248,4093.45215,4193.29248,4193.29248,14.6350346,7.70117235,0,1.23253977,99.8402939
06/14/2021 14:59:00,0.7692337,0,0,1.53846145,0.5769253,44,46,44,44,46,4293.13135,4293.13135,4293.13135,4193.291,13.7651129,6.98459435,0,1.20160019,99.84026
06/14/2021 14:59:05,14.84375,16.40625,15.625,15.625,15.625,60,61,64,60,64,4093.452,4093.452,4093.452,4093.452,27.854269,25.0027866,0,1.84969568,99.84029
06/14/2021 14:59:11,5.384612,2.30768919,6.153846,3.8461566,4.423082,48,50,49,49,50,4093.45313,4093.45313,4093.45313,4093.45313,20.8710251,14.0489655,0,1.41106057,99.84032
