,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed"
06/16/2021 11:27:52,1.5625,3.125,1.5625,3.125,2.34375,48,50,48,48,50,4193.28955,4093.44922,4093.44922,4093.44922,19.3971081,14.5455074,0,1.298886,99.8402252
06/16/2021 11:27:57,7.8125,7.8125,14.84375,13.28125,10.9375,51,54,51,52,54,4093.44873,4093.44873,4093.44873,4093.44873,25.8530865,20.9181023,0,1.57273686,99.84021
06/16/2021 11:28:33,17.1875,33.59375,34.375,32.8125,29.4921875,66,69,73,65,73,4093.449,4093.449,4093.449,4093.449,44.4476929,41.4115219,0,1.57798672,99.84022
06/16/2021 11:28:38,1.5625,0.78125,3.90625,0.78125,1.7578125,51,53,51,50,53,4093.44971,4093.44971,4093.44971,4093.44971,16.5770512,11.8119869,0,1.280068,99.84023
06/16/2021 11:59:09,2.34375,3.90625,2.34375,0.78125,2.34375,48,49,48,47,49,4093.44849,4093.44849,4093.44849,4093.44849,14.5933886,9.913448,0,1.23205245,99.84021
06/16/2021 12:09:29,3.90625,3.90625,4.6875,4.6875,4.296875,47,49,47,47,49,4193.29053,4093.4502,4093.4502,4093.4502,15.658577,10.8871727,0,1.2721734,99.84025
06/16/2021 12:09:34,3.90625,11.71875,3.125,3.125,5.46875,48,49,48,51,51,4093.449,4193.289,4093.449,4093.449,19.9613037,15.1293936,0,1.39541531,99.84022
06/16/2021 12:09:39,2.34375,2.34375,1.5625,2.34375,2.1484375,46,49,47,46,49,4193.28955,4193.28955,4093.44922,4193.28955,14.3552809,9.71543,0,1.23482716,99.8402252
06/16/2021 12:09:44,26.5625,22.65625,19.53125,17.96875,21.6796875,52,60,51,52,60,4093.44946,4093.44946,4093.44946,4093.44946,39.25591,35.67427,0,2.07657266,99.84023
